timestamp,symbol,close,ret_1d,ret_5d,volatility_20d,volume_zscore_20d,market_ret_1d,sector_ret_1d,vix_level,yield_10y_change,dollar_index_ret,regime_label
2026-01-02,SPY,500.0,-0.004,-0.006,0.12,-1.0,-0.004,-0.0014,14.0,-0.015,0.002,risk_on
2026-01-03,QQQ,501.7,-0.003,-0.004,0.125,-0.75,-0.0032,-0.0007,14.8,-0.012,0.0015,risk_on
2026-01-04,SPY,503.4,-0.002,-0.002,0.13,-0.5,-0.0024,0.0,15.6,-0.009,0.001,risk_on
2026-01-05,QQQ,505.1,-0.001,0.0,0.135,-0.25,-0.0016,0.0007,16.4,-0.006,0.0005,risk_on
2026-01-06,SPY,506.8,0.0,0.002,0.14,0.0,-0.0008,0.0014,17.2,-0.003,0.0,transition
2026-01-07,QQQ,508.5,0.001,0.004,0.145,0.25,0.0,0.0021,18.0,0.0,-0.0005,transition
2026-01-08,SPY,510.2,0.002,0.006,0.15,0.5,0.0008,0.0028,18.8,0.003,-0.001,transition
2026-01-09,QQQ,511.9,0.003,0.008,0.155,0.75,0.0016,0.0035,19.6,0.006,-0.0015,risk_off
2026-01-10,SPY,513.6,0.004,0.01,0.16,1.0,0.0024,0.0042,20.4,0.009,-0.002,risk_off
2026-01-11,QQQ,515.3,0.005,0.012,0.165,1.25,0.0032,0.0049,21.2,0.012,-0.0025,risk_off
