fast_ma,slow_ma,sharpe,max_drawdown,expectancy,turnover
5,40,0.558,-0.166,6.69,0.325
5,60,0.66,-0.152,7.917,0.325
5,80,0.752,-0.137,9.025,0.325
5,100,0.712,-0.166,8.538,0.325
5,120,0.468,-0.185,5.61,0.325
5,160,0.248,-0.179,2.974,0.325
10,40,0.685,-0.157,8.223,0.45
10,60,1.017,-0.139,12.202,0.45
10,80,1.262,-0.102,15.14,0.45
10,100,1.084,-0.14,13.01,0.45
10,120,0.717,-0.158,8.6,0.45
10,160,0.23,-0.2,2.763,0.45
15,40,0.708,-0.138,8.497,0.575
15,60,1.129,-0.112,13.552,0.575
15,80,1.415,-0.103,16.984,0.575
15,100,1.107,-0.125,13.281,0.575
15,120,0.75,-0.155,9.0,0.575
15,160,0.197,-0.189,2.364,0.575
20,40,0.669,-0.152,8.027,0.7
20,60,0.987,-0.12,11.84,0.7
20,80,1.185,-0.101,14.223,0.7
20,100,1.045,-0.127,12.544,0.7
20,120,0.531,-0.166,6.373,0.7
20,160,0.157,-0.181,1.889,0.7
25,40,0.458,-0.17,5.497,0.825
25,60,0.623,-0.146,7.479,0.825
25,80,0.748,-0.157,8.978,0.825
25,100,0.597,-0.167,7.169,0.825
25,120,0.366,-0.184,4.387,0.825
25,160,0.155,-0.205,1.861,0.825
30,40,0.129,-0.198,1.545,0.95
30,60,0.284,-0.17,3.413,0.95
30,80,0.395,-0.188,4.741,0.95
30,100,0.264,-0.179,3.162,0.95
30,120,0.264,-0.196,3.174,0.95
30,160,0.147,-0.181,1.77,0.95
