group,group_slug,authors,year,title,venue,doi,arxiv,status,landing_url,download_url,target_path,file_name,abstract_summary,why_it_matters,crossrefs,priority
A,A_reverse_engineering_investor_decision_logic,"Xavier Gabaix, Ralph S. J. Koijen, Robert J. Richmond, Motohiro Yogo",2025,Asset Embeddings,NBER Working Paper 33651,10.3386/w33651,,FREE_DIRECT_PDF,https://www.nber.org/papers/w33651,https://www.nber.org/system/files/working_papers/w33651/w33651.pdf,A_reverse_engineering_investor_decision_logic/papers/Gabaix_2025_AssetEmbeddings.pdf,Gabaix_2025_AssetEmbeddings.pdf,"Uses portfolio holdings to learn asset representations and connect those embeddings to demand, substitution, and equilibrium asset-pricing behavior.","Core paper for reverse-engineering institutional decision logic from holdings. It reframes assets and investors as objects with learned latent positions, which is directly relevant to inferring demand, substitution, and investor-specific preference structure.","K,Q,R",1
A,A_reverse_engineering_investor_decision_logic,"Ralph S. J. Koijen, Motohiro Yogo",2019,A Demand System Approach to Asset Pricing,Journal of Political Economy / NBER Working Paper 21749,10.3386/w21749,,FREE_DIRECT_PDF,https://www.nber.org/papers/w21749,https://www.nber.org/system/files/working_papers/w21749/w21749.pdf,A_reverse_engineering_investor_decision_logic/papers/Koijen_2019_DemandSystemAssetPricing.pdf,Koijen_2019_DemandSystemAssetPricing.pdf,Builds an asset-pricing demand system using investor-level portfolio holdings and market clearing to estimate elasticities and pricing effects.,Load-bearing framework: it converts investor holdings into estimable demand curves. This is the cleanest academic bridge between observed portfolio positions and latent decision logic.,"K,Q",1
A,A_reverse_engineering_investor_decision_logic,"Maarten P. Scholl, Mahmoud Mahfouz, Anisoara Calinescu, J. Doyne Farmer",2025,Learning to Manage Investment Portfolios beyond Simple Utility Functions,arXiv,,2510.26165,FREE_DIRECT_PDF,https://arxiv.org/abs/2510.26165,https://arxiv.org/pdf/2510.26165,A_reverse_engineering_investor_decision_logic/papers/Scholl_2025_BeyondSimpleUtility.pdf,Scholl_2025_BeyondSimpleUtility.pdf,Uses learning-based portfolio-management methods to move beyond fixed mean-variance or simple utility objectives.,"Important because it questions the simple utility-function assumption behind many portfolio models. It fits the thesis that real investors optimize messy, multi-objective, path-dependent decision rules.","B,G,F,R",1
A,A_reverse_engineering_investor_decision_logic,"Bryan T. Kelly, Boris Kuznetsov, Semyon Malamud, Teng Andrea Xu",2025,Artificial Intelligence Asset Pricing Models,NBER Working Paper 33351,10.3386/w33351,,FREE_DIRECT_PDF,https://www.nber.org/papers/w33351,https://www.nber.org/system/files/working_papers/w33351/w33351.pdf,A_reverse_engineering_investor_decision_logic/papers/Kelly_2025_AIAssetPricingModels.pdf,Kelly_2025_AIAssetPricingModels.pdf,Applies transformer-based AI models to stochastic discount factor estimation and compares pricing-error reductions to classical methods.,Frontier ML asset-pricing work. Useful as a benchmark for when an AI model is genuinely pricing risk versus curve-fitting alpha labels.,"K,F,R",1
A,A_reverse_engineering_investor_decision_logic,"Xavier Gabaix, Ralph S. J. Koijen",2021,In Search of the Origins of Financial Fluctuations: The Inelastic Markets Hypothesis,Quarterly Journal of Economics / NBER Working Paper 28967,10.3386/w28967,,FREE_DIRECT_PDF,https://www.nber.org/papers/w28967,https://www.nber.org/system/files/working_papers/w28967/w28967.pdf,A_reverse_engineering_investor_decision_logic/papers/Gabaix_2021_InelasticMarkets.pdf,Gabaix_2021_InelasticMarkets.pdf,Argues that aggregate demand shifts can move prices strongly when market demand curves are inelastic.,Explains why flows can have large price impact. This is the economic reason investor-decision inference matters: demand shocks do not get harmlessly absorbed in perfectly elastic markets.,"H,K,N",1
B,B_inverse_reinforcement_learning_finance,Igor Halperin,2018,"QLBS Q-Learner Goes NuQLear: Fitted Q Iteration, Inverse RL, and Option Pricing",arXiv,,1801.06077,FREE_DIRECT_PDF,https://arxiv.org/abs/1801.06077,https://arxiv.org/pdf/1801.06077,B_inverse_reinforcement_learning_finance/papers/Halperin_2018_QLBS_NuQLear.pdf,Halperin_2018_QLBS_NuQLear.pdf,Extends the QLBS framework using fitted Q-iteration and inverse-RL ideas for derivatives and hedging.,"Shows how option pricing, hedging, and RL can be put in the same control framework. Good bridge from mathematical finance to RL implementation.","G,L",1
B,B_inverse_reinforcement_learning_finance,"Matthew Dixon, Igor Halperin",2020,G-Learner and GIRL: Goal-Based Wealth Management with Reinforcement Learning and Inverse Reinforcement Learning,arXiv,,2002.10990,FREE_DIRECT_PDF,https://arxiv.org/abs/2002.10990,https://arxiv.org/pdf/2002.10990,B_inverse_reinforcement_learning_finance/papers/Dixon_2020_G_Learner_GIRL.pdf,Dixon_2020_G_Learner_GIRL.pdf,Applies RL and IRL to infer and optimize goal-based wealth-management objectives.,One of the clearest finance-specific IRL papers. It targets investor objective inference rather than only return prediction.,"G,E",1
B,B_inverse_reinforcement_learning_finance,"Jacobo Roa-Vicens, Cyrine Chtourou, Angelos Filos, Francisco Rullan, Yarin Gal, Ricardo Silva",2019,Towards Inverse Reinforcement Learning for Limit Order Book Dynamics,arXiv,,1906.04813,FREE_DIRECT_PDF,https://arxiv.org/abs/1906.04813,https://arxiv.org/pdf/1906.04813,B_inverse_reinforcement_learning_finance/papers/Roa_Vicens_2019_IRL_LOB_Dynamics.pdf,Roa_Vicens_2019_IRL_LOB_Dynamics.pdf,Explores how IRL can infer latent objectives underlying limit-order-book dynamics.,Directly relevant to recovering agent objectives from order-book behavior. It is more aligned with execution/microstructure than portfolio-level utility inference.,"H,N",1
B,B_inverse_reinforcement_learning_finance,"Jon Hendricks, Daniel Harmon, Umut Demirel, Chang Yun, Daniel P. Sanderson, Douglas L. T. Rohde",2017,Inferring Agent Objectives at Different Scales of a Complex System,arXiv,,1712.01137,FREE_DIRECT_PDF,https://arxiv.org/abs/1712.01137,https://arxiv.org/pdf/1712.01137,B_inverse_reinforcement_learning_finance/papers/Hendricks_2017_InferringAgentObjectives.pdf,Hendricks_2017_InferringAgentObjectives.pdf,Studies inference of latent agent objectives across multiple scales in complex systems.,Useful for multi-scale objective inference. Trading systems have micro-objectives at order level and macro-objectives at portfolio level; this paper frames that scale problem.,"C,R",2
B,B_inverse_reinforcement_learning_finance,"Sinong Geng, Houssam Nassif, Carlos Manzanares, Andrew Jaegle, Samy Bengio",2020,Deep PQR: Solving Inverse Reinforcement Learning using Anchor Actions,ICML / arXiv,,2007.07443,FREE_DIRECT_PDF,https://arxiv.org/abs/2007.07443,https://arxiv.org/pdf/2007.07443,B_inverse_reinforcement_learning_finance/papers/Geng_2020_DeepPQR.pdf,Geng_2020_DeepPQR.pdf,Presents an IRL method using anchor actions to recover rewards in complex environments.,"Not finance-specific, but useful when demonstrations are sparse or ambiguous. Anchor-action structure maps well to constrained action spaces in execution and rebalancing.",C,2
